SURVYEAR	FIPST	LEAID	TOTD912	EBS912	DRP912	TOTDPL	AFGEB	AFGR	TOTOHC
2008-09	17	1700186	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700187	30	45	66.7	21	8	100.0	-2
2008-09	17	1700188	-2	0	-2.0	-2	27	-2.0	-2
2008-09	17	1700189	-2	0	-2.0	-2	8	-2.0	-2
2008-09	17	1700190	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700191	-2	0	-2.0	-2	15	-2.0	-2
2008-09	17	1700192	-4	22	-4.0	9	10	90.0	-2
2008-09	17	1700193	-2	0	-2.0	-2	9	-2.0	-2
2008-09	17	1700194	-2	0	-2.0	-2	7	-2.0	-2
2008-09	17	1700195	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700196	-2	0	-2.0	-2	6	-2.0	-2
2008-09	17	1700197	-2	0	-2.0	-2	25	-2.0	-2
2008-09	17	1700198	-2	0	-2.0	-2	7	-2.0	-2
2008-09	17	1700199	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700200	-2	0	-2.0	-2	5	-2.0	-2
2008-09	17	1700201	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700202	-2	0	-2.0	-2	12	-2.0	-2
2008-09	17	1700203	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700204	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700205	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700206	-2	0	-2.0	-2	18	-2.0	-2
2008-09	17	1700207	-2	0	-2.0	-2	9	-2.0	-2
2008-09	17	1700208	-2	0	-2.0	-2	5	-2.0	-2
2008-09	17	1700209	-2	0	-2.0	-2	11	-2.0	-2
2008-09	17	1700211	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700212	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700213	-2	0	-2.0	-2	49	-2.0	-2
2008-09	17	1700215	-2	0	-2.0	-2	21	-2.0	-2
2008-09	17	1700217	25	251	10.0	52	66	78.8	-2
2008-09	17	1700218	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700219	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700220	-2	0	-2.0	-2	-2	-2.0	-2
2008-09	17	1700221	-2	0	-2.0	-2	8	-2.0	-2
2008-09	17	1700222	-2	-2	-2.0	-2	-2	-2.0	-2
2008-09	17	1700223	8	171	4.7	33	32	100.0	-2
2008-09	17	1700225	-2	-2	-2.0	-2	-2	-2.0	-2
