School District,,,LEAID,,,,,,,,,,,,,,,,,PovertyRate,
Coxsackie-Athens Central School District,NY,,3608490,"12,988",2.81,16.45,12.07,37.4,79.2,16.45,0.43,2,0,7.01,83.9,20.2,4.04,"51,635","65,678",6.6,"190,600"
Croton-Harmon Union Free School District,NY,,3608580,"9,128",8.37,20.88,11.57,38.8,89.46,1.8,0.23,2.15,0,9.68,93.8,62.6,5.16,"100,700","113,977",2.6,"573,600"
Crown Point Central School District,NY,,3608610,"1,940",6.65,17.11,13.25,40.9,94.43,0,0,2.06,0,0.93,90.6,15.2,2.43,"51,977","60,426",8.7,"119,600"
Cuba-Rushford Central School District,NY,,3632010,"6,379",5,17.2,17.67,43.7,97.34,0,0.3,1.1,0,1.32,87.1,19.1,2.18,"45,258","54,278",10.7,"78,000"
Dansville Central School District,NY,,3608790,"9,798",4.34,16.45,14.84,41.3,96.79,1.96,0.49,0.1,0,1.9,84.9,15.5,0.85,"44,360","50,645",11.4,"88,500"
Deer Park Union Free School District,NY,,3608880,"26,767",6.28,17.17,15.35,39.3,77.21,13.03,0,5.79,0,9.44,89,22.2,6.62,"76,699","90,804",4.9,"396,200"
Delhi Central School District,NY,,3608910,"7,522",2.99,14.42,17.31,46.3,93.27,2.25,1.79,0.86,0,3.54,90.2,31.3,1.86,"47,909","54,357",11.7,"170,100"
Depew Union Free School District,NY,,3609030,"15,102",3.68,16.02,17.46,41.7,97.36,1.09,0,0.54,0.07,1.79,86.3,18.9,3.1,"48,465","59,957",9.5,"105,900"
Deposit Central School District,NY,,3609060,"3,842",5.91,20.09,14.76,39.3,95.6,1.33,0.08,0.62,0,2.5,87.5,14.2,1.3,"36,380","39,418",14,"92,400"
DeRuyter Central School District,NY,,3608850,"2,676",4.9,19.69,11.92,37.8,87.41,8.11,1.38,0.11,0,4.56,80,11.8,1.26,"45,091","47,195",13.3,"82,400"
Dobbs Ferry Union Free School District,NY,,3609120,"9,210",4.07,20.52,15.7,41.3,81.18,5.03,0,6.57,0,11.01,92.2,52.5,5.95,"96,800","123,563",4.3,"665,200"
Dolgeville Central School District,NY,,3600001,"4,998",5.26,19.33,12.93,39.2,98.52,0.42,0.32,0.26,0,0.76,83.1,12.4,0.51,"40,922","42,526",13.7,"79,600"
Dover Union Free School District,NY,,3609210,"10,862",4.49,20.07,10.54,40.9,83.21,7.82,0,1.19,0,8.15,81.8,13.1,2.97,"58,105","65,865",9.8,"267,500"
Downsville Central School District,NY,,3609240,"2,476",4.04,18.09,19.55,45.6,99.23,0,0,0,0,2.58,88.9,15.3,1.47,"41,273","50,625",9.2,"124,600"
